document_id,filename,full_path,bank_name,source_type,document_type,word_count
jpmorgan_chase_&_co_2023_Q2,jpmorgan_chase_&_co_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/jpmorgan_chase_&_co_2023_Q2.txt,jpmorgan,News,News Article,7544
valley_national_bancorp_2023_Q2,valley_national_bancorp_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/valley_national_bancorp_2023_Q2.txt,valley,News,News Article,800
state_street_corporation_2023_Q2,state_street_corporation_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/state_street_corporation_2023_Q2.txt,state,News,News Article,877
northern_trust_corporation_2023_Q2,northern_trust_corporation_2023_Q2.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/northern_trust_corporation_2023_Q2.txt,northern,News,News Article,772
"first_citizens_bancshares,_inc_2023_Q2","first_citizens_bancshares,_inc_2023_Q2.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q2/first_citizens_bancshares,_inc_2023_Q2.txt",first,News,News Article,4619
"charles_schwab_corporation,_the_2023_Q4","charles_schwab_corporation,_the_2023_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q4/charles_schwab_corporation,_the_2023_Q4.txt",charles,News,News Article,731
morgan_stanley_2023_Q4,morgan_stanley_2023_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q4/morgan_stanley_2023_Q4.txt,morgan,News,News Article,3009
regions_financial_corporation_2023_Q4,regions_financial_corporation_2023_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q4/regions_financial_corporation_2023_Q4.txt,regions,News,News Article,1145
"pnc_financial_services_group,_inc.,_the_2023_Q4","pnc_financial_services_group,_inc.,_the_2023_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q4/pnc_financial_services_group,_inc.,_the_2023_Q4.txt",pnc,News,News Article,1221
"goldman_sachs_group,_inc.,_the_2023_Q4","goldman_sachs_group,_inc.,_the_2023_Q4.txt","/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q4/goldman_sachs_group,_inc.,_the_2023_Q4.txt",goldman,News,News Article,4140
capital_one_financial_corporation_2023_Q4,capital_one_financial_corporation_2023_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q4/capital_one_financial_corporation_2023_Q4.txt,capital,News,News Article,1344
american_express_company_2023_Q4,american_express_company_2023_Q4.txt,/Users/alexleu/Documents/Capstone_VSC_Python/Capstone_MCG/News_Sources_TXT/2023/Q4/american_express_company_2023_Q4.txt,american,News,News Article,1798
